,Driver,Race,Lap,Sector 1 Time,Sector 2 Time,Sector 3 Time,Lap Time,Rainfall,Track Temp
0,VER,Imola,1.0,,0 days 00:00:31.809000,0 days 00:00:46.739000,,False,18.0
1,VER,Imola,2.0,0 days 00:00:54.085000,0 days 00:00:47.410000,0 days 00:00:44.500000,0 days 00:02:25.995000,False,17.9
2,VER,Imola,3.0,0 days 00:00:45.833000,0 days 00:00:46.168000,0 days 00:00:44.499000,0 days 00:02:16.500000,False,17.8
3,VER,Imola,4.0,0 days 00:00:42.546000,0 days 00:00:48.335000,0 days 00:00:56.546000,0 days 00:02:27.427000,False,17.6
4,VER,Imola,5.0,0 days 00:00:29.619000,0 days 00:00:30.801000,0 days 00:00:31.030000,0 days 00:01:31.450000,False,17.5
5,VER,Imola,6.0,0 days 00:00:28.916000,0 days 00:00:30.794000,0 days 00:00:30.734000,0 days 00:01:30.444000,False,17.3
6,VER,Imola,7.0,0 days 00:00:28.780000,0 days 00:00:30.578000,0 days 00:00:30.761000,0 days 00:01:30.119000,False,17.3
7,VER,Imola,8.0,0 days 00:00:28.711000,0 days 00:00:30.861000,0 days 00:00:30.605000,0 days 00:01:30.177000,False,17.1
8,VER,Imola,9.0,0 days 00:00:28.558000,0 days 00:00:30.752000,0 days 00:00:30.607000,0 days 00:01:29.917000,False,17.0
9,VER,Imola,10.0,0 days 00:00:28.502000,0 days 00:00:30.986000,0 days 00:00:30.863000,0 days 00:01:30.351000,False,17.0
10,VER,Imola,11.0,0 days 00:00:28.559000,0 days 00:00:31.020000,0 days 00:00:30.760000,0 days 00:01:30.339000,False,17.0
11,VER,Imola,12.0,0 days 00:00:28.740000,0 days 00:00:31.237000,0 days 00:00:30.992000,0 days 00:01:30.969000,False,17.0
12,VER,Imola,13.0,0 days 00:00:28.837000,0 days 00:00:31.266000,0 days 00:00:31.222000,0 days 00:01:31.325000,False,17.0
13,VER,Imola,14.0,0 days 00:00:28.845000,0 days 00:00:31.514000,0 days 00:00:31.530000,0 days 00:01:31.889000,False,16.7
14,VER,Imola,15.0,0 days 00:00:28.888000,0 days 00:00:31.641000,0 days 00:00:31.510000,0 days 00:01:32.039000,False,16.7
15,VER,Imola,16.0,0 days 00:00:28.982000,0 days 00:00:31.717000,0 days 00:00:31.373000,0 days 00:01:32.072000,False,16.7
16,VER,Imola,17.0,0 days 00:00:29.012000,0 days 00:00:31.685000,0 days 00:00:31.382000,0 days 00:01:32.079000,False,16.5
17,VER,Imola,18.0,0 days 00:00:28.901000,0 days 00:00:31.523000,0 days 00:00:31.016000,0 days 00:01:31.440000,False,16.2
18,VER,Imola,19.0,0 days 00:00:28.695000,0 days 00:00:31.325000,0 days 00:00:35.248000,0 days 00:01:35.268000,False,16.3
19,VER,Imola,20.0,0 days 00:00:54.051000,0 days 00:00:30.671000,0 days 00:00:30.016000,0 days 00:01:54.738000,False,16.1
20,VER,Imola,21.0,0 days 00:00:27.654000,0 days 00:00:29.187000,0 days 00:00:28.610000,0 days 00:01:25.451000,False,16.0
21,VER,Imola,22.0,0 days 00:00:27.070000,0 days 00:00:28.586000,0 days 00:00:28.138000,0 days 00:01:23.794000,False,16.1
22,VER,Imola,23.0,0 days 00:00:26.878000,0 days 00:00:28.284000,0 days 00:00:27.707000,0 days 00:01:22.869000,False,16.0
23,VER,Imola,24.0,0 days 00:00:26.411000,0 days 00:00:28.233000,0 days 00:00:27.807000,0 days 00:01:22.451000,False,16.0
24,VER,Imola,25.0,0 days 00:00:26.276000,0 days 00:00:27.926000,0 days 00:00:27.954000,0 days 00:01:22.156000,False,16.0
25,VER,Imola,26.0,0 days 00:00:26.236000,0 days 00:00:27.987000,0 days 00:00:27.430000,0 days 00:01:21.653000,False,15.8
26,VER,Imola,27.0,0 days 00:00:26.249000,0 days 00:00:27.758000,0 days 00:00:27.088000,0 days 00:01:21.095000,False,15.9
27,VER,Imola,28.0,0 days 00:00:25.869000,0 days 00:00:27.788000,0 days 00:00:27.035000,0 days 00:01:20.692000,False,16.1
28,VER,Imola,29.0,0 days 00:00:25.806000,0 days 00:00:27.797000,0 days 00:00:27.110000,0 days 00:01:20.713000,False,16.1
29,VER,Imola,30.0,0 days 00:00:25.882000,0 days 00:00:27.839000,0 days 00:00:27.191000,0 days 00:01:20.912000,False,16.2
30,VER,Imola,31.0,0 days 00:00:25.838000,0 days 00:00:28.019000,0 days 00:00:26.953000,0 days 00:01:20.810000,False,16.3
31,VER,Imola,32.0,0 days 00:00:25.746000,0 days 00:00:27.796000,0 days 00:00:27.045000,0 days 00:01:20.587000,False,16.5
32,VER,Imola,33.0,0 days 00:00:25.730000,0 days 00:00:27.904000,0 days 00:00:26.916000,0 days 00:01:20.550000,False,16.6
33,VER,Imola,34.0,0 days 00:00:25.684000,0 days 00:00:27.850000,0 days 00:00:27.026000,0 days 00:01:20.560000,False,16.6
34,VER,Imola,35.0,0 days 00:00:25.746000,0 days 00:00:27.885000,0 days 00:00:26.976000,0 days 00:01:20.607000,False,16.4
35,VER,Imola,36.0,0 days 00:00:25.613000,0 days 00:00:27.766000,0 days 00:00:26.914000,0 days 00:01:20.293000,False,16.5
36,VER,Imola,37.0,0 days 00:00:25.666000,0 days 00:00:27.814000,0 days 00:00:26.881000,0 days 00:01:20.361000,False,16.6
37,VER,Imola,38.0,0 days 00:00:25.652000,0 days 00:00:27.885000,0 days 00:00:27.045000,0 days 00:01:20.582000,False,16.7
38,VER,Imola,39.0,0 days 00:00:25.611000,0 days 00:00:28.006000,0 days 00:00:27.142000,0 days 00:01:20.759000,False,16.7
39,VER,Imola,40.0,0 days 00:00:25.685000,0 days 00:00:28.045000,0 days 00:00:27.365000,0 days 00:01:21.095000,False,16.6
40,VER,Imola,41.0,0 days 00:00:25.497000,0 days 00:00:28.178000,0 days 00:00:27.292000,0 days 00:01:20.967000,False,16.5
41,VER,Imola,42.0,0 days 00:00:25.246000,0 days 00:00:27.950000,0 days 00:00:27.028000,0 days 00:01:20.224000,False,16.5
42,VER,Imola,43.0,0 days 00:00:25.187000,0 days 00:00:28.029000,0 days 00:00:27.758000,0 days 00:01:20.974000,False,16.6
43,VER,Imola,44.0,0 days 00:00:25.773000,0 days 00:00:27.882000,0 days 00:00:26.902000,0 days 00:01:20.557000,False,16.7
44,VER,Imola,45.0,0 days 00:00:25.604000,0 days 00:00:27.885000,0 days 00:00:27.002000,0 days 00:01:20.491000,False,16.7
45,VER,Imola,46.0,0 days 00:00:25.556000,0 days 00:00:27.871000,0 days 00:00:27.015000,0 days 00:01:20.442000,False,16.6
46,VER,Imola,47.0,0 days 00:00:25.584000,0 days 00:00:27.840000,0 days 00:00:26.932000,0 days 00:01:20.356000,False,16.7
47,VER,Imola,48.0,0 days 00:00:25.618000,0 days 00:00:27.963000,0 days 00:00:27.109000,0 days 00:01:20.690000,False,16.7
48,VER,Imola,49.0,0 days 00:00:25.674000,0 days 00:00:27.928000,0 days 00:00:27.174000,0 days 00:01:20.776000,False,16.9
49,VER,Imola,50.0,0 days 00:00:25.714000,0 days 00:00:28.058000,0 days 00:00:27.247000,0 days 00:01:21.019000,False,17.0
50,VER,Imola,51.0,0 days 00:00:25.664000,0 days 00:00:28.348000,0 days 00:00:31.562000,0 days 00:01:25.574000,False,17.0
51,VER,Imola,52.0,0 days 00:00:50.017000,0 days 00:00:27.690000,0 days 00:00:26.635000,0 days 00:01:44.342000,False,17.0
52,VER,Imola,53.0,0 days 00:00:25.579000,0 days 00:00:27.241000,0 days 00:00:26.489000,0 days 00:01:19.309000,False,17.0
53,VER,Imola,54.0,0 days 00:00:25.648000,0 days 00:00:28.265000,0 days 00:00:27.239000,0 days 00:01:21.152000,False,16.8
54,VER,Imola,55.0,0 days 00:00:25.088000,0 days 00:00:27.017000,0 days 00:00:26.341000,0 days 00:01:18.446000,False,16.8
55,VER,Imola,56.0,0 days 00:00:25.469000,0 days 00:00:27.403000,0 days 00:00:26.631000,0 days 00:01:19.503000,False,16.7
56,VER,Imola,57.0,0 days 00:00:25.714000,0 days 00:00:27.807000,0 days 00:00:27.061000,0 days 00:01:20.582000,False,16.6
57,VER,Imola,58.0,0 days 00:00:25.095000,0 days 00:00:27.500000,0 days 00:00:26.731000,0 days 00:01:19.326000,False,16.5
58,VER,Imola,59.0,0 days 00:00:25.587000,0 days 00:00:27.517000,0 days 00:00:26.737000,0 days 00:01:19.841000,False,16.5
59,VER,Imola,60.0,0 days 00:00:25.775000,0 days 00:00:27.471000,0 days 00:00:26.623000,0 days 00:01:19.869000,False,16.5
60,VER,Imola,61.0,0 days 00:00:25.776000,0 days 00:00:27.550000,0 days 00:00:26.621000,0 days 00:01:19.947000,False,16.6
61,VER,Imola,62.0,0 days 00:00:25.472000,0 days 00:00:27.465000,0 days 00:00:26.672000,0 days 00:01:19.609000,False,16.6
62,VER,Imola,63.0,0 days 00:00:25.616000,0 days 00:00:27.531000,0 days 00:00:27.008000,0 days 00:01:20.155000,False,16.6
63,PER,Imola,1.0,,0 days 00:00:32.438000,0 days 00:00:46.405000,,False,18.0
64,PER,Imola,2.0,0 days 00:00:53.878000,0 days 00:00:48.003000,0 days 00:00:44.121000,0 days 00:02:26.002000,False,17.9
65,PER,Imola,3.0,0 days 00:00:46.119000,0 days 00:00:46.041000,0 days 00:00:45.650000,0 days 00:02:17.810000,False,17.8
66,PER,Imola,4.0,0 days 00:00:41.679000,0 days 00:00:48.096000,0 days 00:00:55.655000,0 days 00:02:25.430000,False,17.6
67,PER,Imola,5.0,0 days 00:00:29.830000,0 days 00:00:31.445000,0 days 00:00:31.434000,0 days 00:01:32.709000,False,17.5
68,PER,Imola,6.0,0 days 00:00:29.039000,0 days 00:00:30.889000,0 days 00:00:31.076000,0 days 00:01:31.004000,False,17.3
69,PER,Imola,7.0,0 days 00:00:28.826000,0 days 00:00:31.161000,0 days 00:00:31.011000,0 days 00:01:30.998000,False,17.3
70,PER,Imola,8.0,0 days 00:00:28.538000,0 days 00:00:30.798000,0 days 00:00:30.884000,0 days 00:01:30.220000,False,17.1
71,PER,Imola,9.0,0 days 00:00:28.589000,0 days 00:00:31.174000,0 days 00:00:30.799000,0 days 00:01:30.562000,False,17.0
72,PER,Imola,10.0,0 days 00:00:28.407000,0 days 00:00:30.940000,0 days 00:00:31.050000,0 days 00:01:30.397000,False,17.0
73,PER,Imola,11.0,0 days 00:00:29.078000,0 days 00:00:31.147000,0 days 00:00:30.804000,0 days 00:01:31.029000,False,17.0
74,PER,Imola,12.0,0 days 00:00:29.042000,0 days 00:00:31.642000,0 days 00:00:31.113000,0 days 00:01:31.797000,False,17.0
75,PER,Imola,13.0,0 days 00:00:29.121000,0 days 00:00:31.307000,0 days 00:00:31.041000,0 days 00:01:31.469000,False,17.0
76,PER,Imola,14.0,0 days 00:00:28.952000,0 days 00:00:31.732000,0 days 00:00:31.118000,0 days 00:01:31.802000,False,16.7
77,PER,Imola,15.0,0 days 00:00:29.122000,0 days 00:00:32.250000,0 days 00:00:31.376000,0 days 00:01:32.748000,False,16.7
78,PER,Imola,16.0,0 days 00:00:28.920000,0 days 00:00:32.266000,0 days 00:00:31.100000,0 days 00:01:32.286000,False,16.7
79,PER,Imola,17.0,0 days 00:00:29.061000,0 days 00:00:31.975000,0 days 00:00:31.286000,0 days 00:01:32.322000,False,16.5
80,PER,Imola,18.0,0 days 00:00:29.084000,0 days 00:00:31.931000,0 days 00:00:35.879000,0 days 00:01:36.894000,False,16.2
81,PER,Imola,19.0,0 days 00:00:55.532000,0 days 00:00:31.018000,0 days 00:00:30.521000,0 days 00:01:57.071000,False,16.3
82,PER,Imola,20.0,0 days 00:00:29.473000,0 days 00:00:29.512000,0 days 00:00:29.365000,0 days 00:01:28.350000,False,16.1
83,PER,Imola,21.0,0 days 00:00:27.376000,0 days 00:00:28.839000,0 days 00:00:29.313000,0 days 00:01:25.528000,False,16.0
84,PER,Imola,22.0,0 days 00:00:26.825000,0 days 00:00:28.620000,0 days 00:00:28.757000,0 days 00:01:24.202000,False,16.1
85,PER,Imola,23.0,0 days 00:00:26.613000,0 days 00:00:28.196000,0 days 00:00:27.774000,0 days 00:01:22.583000,False,16.0
86,PER,Imola,24.0,0 days 00:00:26.210000,0 days 00:00:28.068000,0 days 00:00:27.599000,0 days 00:01:21.877000,False,16.0
87,PER,Imola,25.0,0 days 00:00:26.177000,0 days 00:00:28.139000,0 days 00:00:27.666000,0 days 00:01:21.982000,False,16.0
88,PER,Imola,26.0,0 days 00:00:25.994000,0 days 00:00:27.946000,0 days 00:00:27.397000,0 days 00:01:21.337000,False,15.8
89,PER,Imola,27.0,0 days 00:00:25.929000,0 days 00:00:28.012000,0 days 00:00:27.240000,0 days 00:01:21.181000,False,15.9
90,PER,Imola,28.0,0 days 00:00:25.967000,0 days 00:00:27.991000,0 days 00:00:28.847000,0 days 00:01:22.805000,False,16.1
91,PER,Imola,29.0,0 days 00:00:26.013000,0 days 00:00:27.953000,0 days 00:00:27.364000,0 days 00:01:21.330000,False,16.1
92,PER,Imola,30.0,0 days 00:00:25.883000,0 days 00:00:27.933000,0 days 00:00:27.567000,0 days 00:01:21.383000,False,16.2
93,PER,Imola,31.0,0 days 00:00:25.884000,0 days 00:00:27.887000,0 days 00:00:27.382000,0 days 00:01:21.153000,False,16.3
94,PER,Imola,32.0,0 days 00:00:25.847000,0 days 00:00:27.909000,0 days 00:00:27.122000,0 days 00:01:20.878000,False,16.5
95,PER,Imola,33.0,0 days 00:00:25.703000,0 days 00:00:27.827000,0 days 00:00:27.281000,0 days 00:01:20.811000,False,16.6
